Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotalTests,Population,Continent
Bolivia,115968.0,614.0,4966.0,28.0,58497.0,52505.0,71.0,239640.0,11698902.0,SouthAmerica
Israel,115057.0,1037.0,922.0,3.0,93801.0,20334.0,453.0,2295951.0,9197590.0,Asia
Ecuador,113648.0,0.0,6555.0,0.0,101620.0,5473.0,377.0,328491.0,17686402.0,SouthAmerica
Kazakhstan,105795.0,111.0,1523.0,0.0,96297.0,7975.0,221.0,2434444.0,18813391.0,Asia
Egypt,98727.0,0.0,5399.0,0.0,72120.0,21208.0,41.0,135000.0,102643281.0,Africa
Dominican Republic,94241.0,0.0,1681.0,0.0,66776.0,25784.0,220.0,367146.0,10865776.0,NorthAmerica
Panama,92065.0,0.0,1995.0,0.0,65747.0,24323.0,157.0,334297.0,4325739.0,NorthAmerica
Romania,87540.0,755.0,3621.0,43.0,37869.0,46050.0,506.0,1802946.0,19215654.0,Europe
Oman,85722.0,178.0,685.0,8.0,80810.0,4227.0,155.0,309212.0,5126990.0,Asia
Kuwait,85109.0,473.0,531.0,1.0,77224.0,7354.0,91.0,617619.0,4280802.0,Asia
Belgium,85042.0,443.0,9894.0,3.0,18415.0,56733.0,71.0,2278713.0,11598039.0,Europe
Sweden,84379.0,0.0,5808.0,5.0,0.0,0.0,19.0,1094856.0,10109718.0,Europe
Guatemala,73912.0,0.0,2740.0,0.0,61681.0,9491.0,5.0,241959.0,17968661.0,NorthAmerica
Belarus,71843.0,156.0,681.0,5.0,70468.0,694.0,0.0,1532119.0,9448798.0,Europe
Netherlands,70667.0,527.0,6224.0,0.0,0.0,0.0,51.0,1455274.0,17141234.0,Europe
UAE,70231.0,541.0,384.0,2.0,60931.0,8916.0,0.0,7094658.0,9909913.0,Asia
Poland,67372.0,502.0,2039.0,6.0,46638.0,18695.0,83.0,2714027.0,37839594.0,Europe
Japan,67264.0,0.0,1264.0,0.0,56164.0,9836.0,234.0,1455610.0,126410582.0,Asia
Morocco,61399.0,0.0,1111.0,0.0,46355.0,13933.0,31.0,1890964.0,36982039.0,Africa
Honduras,60174.0,529.0,1858.0,16.0,10242.0,48074.0,43.0,143807.0,9930041.0,NorthAmerica
Portugal,58012.0,244.0,1822.0,3.0,41961.0,14229.0,41.0,1976482.0,10191652.0,Europe
Singapore,56812.0,41.0,27.0,0.0,55586.0,1199.0,0.0,1832813.0,5857945.0,Asia
Nigeria,53865.0,0.0,1013.0,0.0,41513.0,11339.0,7.0,402070.0,206942342.0,Africa
Bahrain,51574.0,0.0,190.0,1.0,48654.0,2730.0,33.0,1100729.0,1710569.0,Asia
Ethiopia,51122.0,0.0,793.0,0.0,18382.0,31947.0,344.0,890929.0,115411032.0,Africa
Venezuela,45868.0,0.0,381.0,0.0,37091.0,8396.0,99.0,1754575.0,28422239.0,SouthAmerica
Ghana,44205.0,0.0,276.0,0.0,42777.0,1152.0,6.0,442185.0,31176101.0,Africa
Algeria,44146.0,0.0,1501.0,0.0,30978.0,11667.0,29.0,0.0,43978070.0,Africa
