S/N,CODE,ITEM DESCRIPTION,UOM,UNIT PRICE,,,
178,INS-80003,RACK-MOUNTABLE POWER EXTENDER,UNIT,10062.5,,,
339,TOL-17248,RAISECOM ONT ISCOM(HT803G-W),UNIT,36382,,,
91,CAB-70110,"RBR cable, single core, 100M",UNIT,49916.21,,,
92,CAB-70111,"RBR cable, single core, 110M",UNIT,17935.89,,,
93,CAB-70112,"RBR cable, single core, 120M",UNIT,19023.95,,,
94,CAB-70113,"RBR cable, single core, 130M",UNIT,20112.01,,,
95,CAB-70114,"RBR cable, single core, 140M",UNIT,21197.79,,,
96,CAB-70115,"RBR cable, single core, 150M",UNIT,22285.85,,,
97,CAB-70116,"RBR cable, single core, 160M",UNIT,23371.63,,,
98,CAB-70117,"RBR cable, single core, 170M",UNIT,24639.89,,,
84,CAB-70103,"RBR cable, single core, 30M",UNIT,19057.06,,,
85,CAB-70104,"RBR cable, single core, 40M",UNIT,22122.54,,,
86,CAB-70105,"RBR cable, single core, 50M",UNIT,24523.83,,,
87,CAB-70106,"RBR cable, single core, 60M",UNIT,26771.85,,,
88,CAB-70107,"RBR cable, single core, 70M",UNIT,29224.23,,,
89,CAB-70108,"RBR cable, single core, 80M",UNIT,35304.09,,,
90,CAB-70109,"RBR cable, single core, 90M",UNIT,45047.21,,,
314,TOL-171073,RC-ADP-SCA-SM,UNIT,1315.66,,,
119,CAB-70200,RED HDPE PIPE 32MM,UNIT,170,,,
162,CPE 12020,RETAIL PHONES,UNIT,2119.35,,,
263,RAD-20094,RFU-CX-13-266-1W4wz-TH,UNIT,521789.62,,,
267,RAD-20110,RFU-CX-15-490A-1W8-TL,UNIT,562679.29,,,
56,CAB-70004,RG 6/U Coaxial Cable,UNIT,72.13,,,
65,CAB-70052,RJ 11 cable,UNIT,95.77,,,
160,CON-90023,RJ 45 NONSHIELDED Connector,UNIT,18.07,,,
225,INS-820001,RJ-45 unshielded connector for cat 6,UNIT,50,,,
152,COL-12047,Round Neck Tshirts.,UNIT,800,,,
129,CIS-18125,ROUTER (JI-525A),UNIT,2266.21,,,
154,COL-12311,Rubber Wristband(1.5cm),UNIT,160,,,
363,RAD-22306,Ruckus R310 Access Point,UNIT,107835,,,
364,RAD-22100,RW2000/ODU/A/F58/FCC/INT/10M/23,UNIT,,,,
276,SAF-21002,Safety Belt/harness,UNIT,45000,,,
275,SAF-21000,Safety Boot,UNIT,12500,,,
248,OFE-00276,Samsung 32 LED TV,UNIT,48500,,,
222,INS-80129,SC/APC Pigtails(1m),UNIT,600,,,
177,INS-80002,Scotch tape,UNIT,511.41,,,
194,INS-80062,Screw Nails,UNIT,203.64,,,
102,CAB-70124,SC-SC PATCH CORDS,UNIT,2500,,,
31,BST-13075,SFP-40-RO,UNIT,23983.96,,,
161,CON-90079,Shielded RJ-45 Connectors,UNIT,50.41,,,
343,TOL-1770,SILICONE GUM,UNIT,614.29,,,
251,PSU-50028,Solartek 13Amps AVS,UNIT,4000,,,
166,CPE-14O12,SOMAport 300,UNIT,2000,,,
136,CIS-60042,SPA-5X1GE-V2,UNIT,261050,,,
306,TOL-17085,Splice cabinet for 288 ports for now but scalable,UNIT,407710.32,,,
289,TOL-17063,Splice module left for 24 splice trays,UNIT,215012.51,,,
290,TOL-17064,Splice module right for 24 splice trays,UNIT,215012.51,,,
307,TOL-17086,Splice Panel,UNIT,51422.92,,,
291,TOL-17065,Splice tray for 12 splices heat shrink,UNIT,7541.99,,,
205,INS-80098,"Straight pole 1.5"" 15ft long",UNIT,4173.91,,,
224,INS-80221,STRAIGHT POLE 20FT,UNIT,3850,,,
202,INS-80091,"Straight poles 1.5"" 10ft long",UNIT,4508.82,,,
216,INS-80115,Tie wrap(small),UNIT,413.11,,,
223,INS-80131,Tie wraps(Big),UNIT,833.52,,,
158,CON-90007,TNC Connectors for RG 213,UNIT,641.06,,,
244,OFE-00121,Toner Cartridge,UNIT,15125,,,
6,BST-13007,Tower Mounted Amplifier & CIN,UNIT,232540,,,
274,ROU 30008,TP-LINK 300mbps router(TL-WR842ND),UNIT,13000,,,
272,RAD-20170,Trango Giga Lynx Link 13 GHz,UNIT,1902460.98,,,
34,BST-13088,TRANSCEIVER-10KM,UNIT,459538.63,,,
301,TOL-17075,Trumpet flare used on both 4x4 and 4x6 downspouts,,UNIT,8636.05,,
209,INS-80102,Trunk (16X16),UNIT,191.67,,,
233,OFE-00061,TYRE,UNIT,20000,,,
241,OFE-00104,TYRE 205 R16C,UNIT,18000,,,
240,OFE-00102,TYRE 205/55 R16,UNIT,15500,,,
234,OFE-00062,TYRE TUBE,UNIT,900,,,
269,RAD-20122,Ubiquiti Nanobeam M5 400,UNIT,21500,,,
262,RAD-200020,UBIQUITI POWERBEAM M5,UNIT,42200,,,
357,TOL-1809,Universal POE,UNIT,2865.38,,,
196,INS-80064,Wall Clips,UNIT,178.13,,,
208,INS-80101,WALL MOUNTED ADJUSTABLE POLE 10FT,UNIT,8000,,,
215,INS-80112,WALL MOUNTED ADJUSTABLE POLE 15FT,UNIT,10000,,,
165,CPE-14102,WaveAccess 4022TN-ONT,UNIT,28298.35,,,
353,TOL-1800,Wheel Meter with carrying case,UNIT,27000,,,
235,OFE00074,Windows Unit Aircondition.,UNIT,77000,,,
146,CIS-60089,WS-X6582-2PA,UNIT,121264.13,,,
41,BST-13104,X34813(Alarm cable for BG20/30 L=5M,UNIT,3800.94,,,
9,BST-130106,X34841(RAP-BG ASSY T.K),UNIT,42063.71,,,
43,BST-13106,X36026(CABLE 21E1 120R FOR ME1_42 OPEN 5M),UNIT,13164.75,,,
40,BST-13102,X44430(CPS50),UNIT,673019.38,,,
39,BST-13101,X44438(INF_B1U),UNIT,32181.27,,,
35,BST-13090,X44492(DHGE_24),UNIT,300462.91,,,
44,BST-13201,X44725(NPT-1021 EMB V3.1 CF NVM KIT),UNIT,22298.83,,,
37,BST-13094,X72650(OTGBE_LX),UNIT,25086.19,,,
132,CIS-6001,XENPAK-10GB-LR+,UNIT,42170.61,,,
141,CIS-60072,XENPAK-GB-SR,UNIT,42170.61,,,
142,CIS-60082,XFP-10G-MM-SR,UNIT,55303.56,,,
325,TOL-17159,XIO_30_16,UNIT,147930.01,,,
,PSU-50081,1.2KVA Bluegate UPS,UNIT,35175,,,
,OFE 00108,HP 35A Toner,UNIT,18900,,,
,RAD-20066,Ubiquiti Nano Bridge M5,UNIT,22000,,,
,TOL-1926,96 Port Fibre Enclosure,UNIT,21000,,,
,RAD-20017,"13GHz ODU,8/16/34Mbps (Low).",,"USD 1,397.10",,,
,PSU-50100,Bluegate UPS 650VA,UNIT,15356.25,,,
,PSU-50803,"Ethernet surge protector (24 port, cat6, RJ45)",UNIT,USD 590,,,
